"A","278-A3","","","","","","","","","","","4932","","It is required that separate transaction sets be used for different patients."
"E","278-A3","2","0300","AAA","03","","","901","42","2","0300","5214","","Use this code to indicate that the entity responsible for forwarding the request to the information source (Loop 2010A) is unable to process the transaction at the current time. This indicates a problem in the system forwarding the request and not in the information source's (UMO) system."
"E","278-A3","2","0300","AAA","03","","","901","79","2","0300","5179","","Use this code to indicate that the identifier used in GS02 or GS03 is invalid or unknown."
"C","278-A3","2","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-A3","2","1700","","","","","","","2","1700","4940","E","NM1*X3*2*ABC PAYER*****46*123450000~"
"B","278-A3","2","1700","","","","","","","2","1700","4975","A","Utilization Management Organization (UMO) Name"
"B","278-A3","2","1700","","","","","","","2","1700","5376","","This segment identifies the source of information. In the case of a response to a request transaction, the information source would normally be the payer or utilization review organization who is the source of the decision regarding the request."
"C","278-A3","2","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A3","2","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A3","2","1700","NM1","03","","","","","2","1700","5445","D","Required when the responder needs to identify the UMO by name. If not required by this implementation guide, do not send."
"C","278-A3","2","1700","NM1","03","","","","","2","1700","","F","Utilization Management Organization (UMO) Last or Organization Name"
"C","278-A3","2","1700","NM1","04","","","","","2","1700","5079","D","Required when NM103 is valued and the reviewing entity is an individual (NM102 = 1), such as a primary care provider. If not required by this implementation guide, do not send."
"C","278-A3","2","1700","NM1","04","","","","","2","1700","","F","Utilization Management Organization (UMO) First Name"
"C","278-A3","2","1700","NM1","05","","","","","2","1700","5080","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-A3","2","1700","NM1","05","","","","","2","1700","","F","Utilization Management Organization (UMO) Middle Name"
"C","278-A3","2","1700","NM1","07","","","","","2","1700","5377","D","Required when NM104 is valued and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-A3","2","1700","NM1","07","","","","","2","1700","","F","Utilization Management Organization (UMO) Name Suffix"
"C","278-A3","2","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-A3","2","1700","NM1","08","","","66","PI","2","1700","301717","","Use when UMO is a payer and XV is not used."
"E","278-A3","2","1700","NM1","08","","","66","XV","2","1700","301708","","Use when reporting Health Plan ID (HPID) or Other Entity Identifier (OEID)."
"C","278-A3","2","1700","NM1","09","","","","","2","1700","","F","Utilization Management Organization (UMO) Identifier"
"B","278-A3","2","2200","","","","","","","2","2200","4934","A","Utilization Management Organization (UMO) Contact Information"
"B","278-A3","2","2200","","","","","","","2","2200","4941","E","PER*IC*ORCUTT*TE*8189991234*FX*8188769304~"
"B","278-A3","2","2200","","","","","","","2","2200","5082","","Use this segment to identify a contact name and/or communications number for the UMO."
"B","278-A3","2","2200","","","","","","","2","2200","5083","","Required when the requester must direct requests for follow-up to a specific UMO contact, email, facsimile, or telephone. If not required by this implementation guide, do not send."
"B","278-A3","2","2200","","","","","","","2","2200","5172","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"C","278-A3","2","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-A3","2","2200","PER","02","","","","","2","2200","5536","D","Required when a particular contact is assigned and the name of the entity to contact is not already defined in the NM1 segment in this loop (2010A NM1 Segment). If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","02","","","","","2","2200","","F","Utilization Management Organization (UMO) Contact Name"
"C","278-A3","2","2200","PER","03","","","","","2","2200","5378","D","Required when PER02 is not valued in order to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A3","2","2200","PER","03","","","365","UR","2","2200","5352","","Must not contain any characters used as delimiters in this transaction."
"C","278-A3","2","2200","PER","04","","","","","2","2200","5378","D","Required when PER02 is not valued in order to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","04","","","","","2","2200","","F","Utilization Management Organization (UMO) Contact Communication Number"
"C","278-A3","2","2200","PER","05","","","","","2","2200","5084","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A3","2","2200","PER","05","","","365","EX","2","2200","5085","","When used, the value following this code is the extension for the preceding communications contact number."
"E","278-A3","2","2200","PER","05","","","365","UR","2","2200","5352","","Must not contain any characters used as delimiters in this transaction."
"C","278-A3","2","2200","PER","06","","","","","2","2200","5084","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","06","","","","","2","2200","","F","Utilization Management Organization (UMO) Contact Communication Number"
"C","278-A3","2","2200","PER","07","","","","","2","2200","5084","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A3","2","2200","PER","07","","","365","EX","2","2200","5085","","When used, the value following this code is the extension for the preceding communications contact number."
"E","278-A3","2","2200","PER","07","","","365","UR","2","2200","5352","","Must not contain any characters used as delimiters in this transaction."
"C","278-A3","2","2200","PER","08","","","","","2","2200","5084","D","Required when a telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-A3","2","2200","PER","08","","","","","2","2200","","F","Utilization Management Organization (UMO) Contact Communication Number"
"B","278-A3","2","2300","","","","","","","2","2300","4976","A","Utilization Management Organization (UMO) Request Validation"
"B","278-A3","2","2300","","","","","","","2","2300","5180","","Required when the request cannot be processed at the system or application level based on the Utilization Management Organization (information source) identified in Loop 2010A. If not required by this implementation guide, do not send."
"B","278-A3","2","2300","","","","","","","2","2300","5203","E","AAA*N**42*Y~"
"C","278-A3","2","2300","AAA","01","","","","","2","2300","4977","B","Valid Request Indicator"
"C","278-A3","2","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-A3","2","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-A3","2","2300","AAA","03","","","901","42","2","2300","5215","","Use this code to indicate that the information source (UMO) identified in Loop 2010A is unable to process the transaction at the current time."
"E","278-A3","2","2300","AAA","03","","","901","79","2","2300","5216","","Use this code to indicate that the code used in Loop 2010A to identify the information source (UMO) is invalid."
"E","278-A3","2","2300","AAA","03","","","901","80","2","2300","5217","","Use this code to indicate that the trading partner/application system responsible for sending the request to the information source (UMO) has not received a response in the expected timeframe and therefore has terminated the request."
"E","278-A3","2","2300","AAA","03","","","901","T4","2","2300","5218","","Use this code to indicate that either the name or identifier for the information source (UMO) identified in Loop 2010A is missing."
"C","278-A3","2","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-A3","3","0100","","","","","","","2","0100","4942","E","HL*2*1*21*1~"
"B","278-A3","3","0100","","","","","","","2","0100","4978","A","Requester Level"
"B","278-A3","3","0100","","","","","","","2","0100","5298","","Required when the UMO system processed any of the information contained in Loop 2000B. If not required by this implementation guide, do not send."
"B","278-A3","3","0100","","","","","","","2","0100","5484","","If the UMO system was unable to process any data beyond Loop 2000A, Loop 2000B is not used."
"B","278-A3","3","0100","","","","","","","2","0100","5087","","This segment indicates the health care services review information receiver. For responses to request transactions, this segment corresponds to the identification of the provider who initiated the request for review."
"C","278-A3","3","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A3","3","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A3","3","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A3","3","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A3","3","1700","","","","","","","2","1700","4943","E","NM1*1P*1*GARDNER*JAMES****24*000012345~"
"B","278-A3","3","1700","","","","","","","2","1700","4979","A","Requester Name"
"B","278-A3","3","1700","","","","","","","2","1700","5380","","This loop identifies the receiver of information. In the case of a response to a request transaction, the receiver would normally be the provider who is receiving the decision."
"C","278-A3","3","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A3","3","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A3","3","1700","NM1","03","","","","","2","1700","5446","D","Required when name information is used by the UMO to identify the requester. If not required by this implementation guide, do not send."
"C","278-A3","3","1700","NM1","03","","","","","2","1700","","F","Requester Last or Organization Name"
"C","278-A3","3","1700","NM1","04","","","","","2","1700","5447","D","Required when name information is used by the UMO to identify the requester and the requester is a person. If not required by this implementation guide, do not send."
"C","278-A3","3","1700","NM1","04","","","","","2","1700","","F","Requester First Name"
"C","278-A3","3","1700","NM1","05","","","","","2","1700","5448","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-A3","3","1700","NM1","05","","","","","2","1700","","F","Requester Middle Name"
"C","278-A3","3","1700","NM1","07","","","","","2","1700","5469","D","Required when NM104 is valued and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-A3","3","1700","NM1","07","","","","","2","1700","","F","Requester Name Suffix"
"C","278-A3","3","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"C","278-A3","3","1700","NM1","09","","","","","2","1700","4980","B","Requester Identifier"
"C","278-A3","3","1700","NM1","09","","","","","2","1700","","F","Requester Identifier"
"B","278-A3","3","1800","","","","","","","2","1800","4944","E","REF*1G*123456~"
"B","278-A3","3","1800","","","","","","","2","1800","4981","A","Requester Supplemental Identification"
"B","278-A3","3","1800","","","","","","","2","1800","5381","","Required when used by the UMO to identify the requester. If not required by this implementation guide, do not send."
"C","278-A3","3","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-A3","3","1800","REF","01","","","128","EI","2","1800","5092","","Not used if NM108 = 24."
"E","278-A3","3","1800","REF","01","","","128","G5","2","1800","5353","","Use to identify the physician, clinic, or group practice associated with the requester identified in this NM1 loop."
"E","278-A3","3","1800","REF","01","","","128","SY","2","1800","5220","","The social security number must not be used for Medicare. Not used if NM108 = 34."
"E","278-A3","3","1800","REF","01","","","128","ZH","2","1800","5091","","Use for the requester/provider ID as assigned by the UMO identified in Loop 2000A."
"C","278-A3","3","1800","REF","02","","","","","2","1800","","F","Requester Supplemental Identifier"
"B","278-A3","3","2300","","","","","","","2","2300","5043","A","Requester Request Validation"
"B","278-A3","3","2300","","","","","","","2","2300","5093","","Use this segment to convey rejection information regarding the entity that initiated a request transaction."
"B","278-A3","3","2300","","","","","","","2","2300","5204","E","AAA*N**46*C~"
"B","278-A3","3","2300","","","","","","","2","2300","5379","","Required when the request is not valid at this level. If not required by this implementation guide, do not send."
"C","278-A3","3","2300","AAA","01","","","","","2","2300","4982","B","Valid Request Indicator"
"C","278-A3","3","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-A3","3","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-A3","3","2300","AAA","03","","","901","15","2","2300","5354","","Use for missing contact information (PER Segment) other than phone number."
"E","278-A3","3","2300","AAA","03","","","901","41","2","2300","5221","","Use if the provider is not authorized for requests."
"E","278-A3","3","2300","AAA","03","","","901","79","2","2300","5094","","Use for invalid/missing requester supplemental identifier."
"C","278-A3","3","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-A3","3","2400","","","","","","","2","2400","5095","A","Requester Provider Information"
"B","278-A3","3","2400","","","","","","","2","2400","5096","","Required when used by the UMO to identify the requester. If not required by this implementation guide, do not send."
"B","278-A3","3","2400","","","","","","","2","2400","5355","E","PRV*CO*PXC*203BS0133X~"
"C","278-A3","3","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"C","278-A3","3","2400","PRV","02","","","","","2","2400","5382","D","Required when used by the UMO to identify the requester. If not required by this implementation guide, do not send."
"C","278-A3","3","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-A3","3","2400","PRV","03","","","","","2","2400","5161","B","Provider Specialty Code"
"C","278-A3","3","2400","PRV","03","","","","","2","2400","5382","D","Required when used by the UMO to identify the requester. If not required by this implementation guide, do not send."
"C","278-A3","3","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-A3","4","0100","","","","","","","2","0100","4945","E","HL*3*2*22*1~"
"B","278-A3","4","0100","","","","","","","2","0100","4983","A","Subscriber Level"
"B","278-A3","4","0100","","","","","","","2","0100","5097","","Required when the UMO system processed any of the information contained in Loop 2000C of the request. If not required by this implementation guide, do not send."
"B","278-A3","4","0100","","","","","","","2","0100","5383","","If the UMO system was unable to process any data beyond Loop 2000B of the request, Loop 2000C is not required."
"B","278-A3","4","0100","","","","","","","2","0100","5485","","This segment corresponds to the identification of the subscriber or individual insured member. The subscriber could also be the patient. If the subscriber is the patient, the dependent hierarchical level (Loop 2000D) is not used."
"C","278-A3","4","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A3","4","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A3","4","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A3","4","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A3","4","1700","","","","","","","2","1700","4946","E","NM1*IL*1*SMITH*JOE****MI*12345678901~"
"B","278-A3","4","1700","","","","","","","2","1700","4993","A","Subscriber Name"
"B","278-A3","4","1700","","","","","","","2","1700","5290","","This segment identifies the subscriber."
"C","278-A3","4","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A3","4","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A3","4","1700","NM1","03","","","","","2","1700","5449","D","Required when valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1700","NM1","03","","","","","2","1700","","F","Subscriber Last Name"
"C","278-A3","4","1700","NM1","04","","","","","2","1700","5449","D","Required when valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1700","NM1","04","","","","","2","1700","","F","Subscriber First Name"
"C","278-A3","4","1700","NM1","05","","","","","2","1700","5449","D","Required when valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1700","NM1","05","","","","","2","1700","","F","Subscriber Middle Name or Initial"
"C","278-A3","4","1700","NM1","06","","","","","2","1700","5449","D","Required when valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1700","NM1","06","","","","","2","1700","","F","Subscriber Name Prefix"
"C","278-A3","4","1700","NM1","07","","","","","2","1700","5449","D","Required when valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1700","NM1","07","","","","","2","1700","","F","Subscriber Name Suffix"
"C","278-A3","4","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-A3","4","1700","NM1","08","","","66","II","2","1700","5384","","The value ""II"" when used in this data element, shall be defined as ""HIPAA Individual Identifier"" if this identifier has been adopted, under the Health Insurance Portability and Accountability Act of 1996, for use in this transaction."
"E","278-A3","4","1700","NM1","08","","","66","MI","2","1700","5181","","The code MI is intended to be the subscriber's identification number as assigned by the payer. Payers use different terminology to convey the same number. Use MI - Member Identification Number to convey the following terms: Insured's ID, Subscriber's ID, Health Insurance Claim Number (HIC), etc."
"C","278-A3","4","1700","NM1","09","","","","","2","1700","4994","B","Subscriber Member Number"
"C","278-A3","4","1700","NM1","09","","","","","2","1700","","F","Subscriber Primary Identifier"
"B","278-A3","4","1800","","","","","","","2","1800","4947","E","REF*SY*123456789~"
"B","278-A3","4","1800","","","","","","","2","1800","4995","A","Subscriber Supplemental Identification"
"B","278-A3","4","1800","","","","","","","2","1800","5112","","Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number are to be provided in the NM1 segment as a Member Identification Number when it is the primary number a UMO knows a member by (such as for Medicare or Medicaid). Do not use this segment for the Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number unless they are different from the Member Identification Number provided in the NM1 segment."
"B","278-A3","4","1800","","","","","","","2","1800","5385","","Required when used by the UMO to identify the Subscriber or when REF01 = ""EJ"" (Patient Account Number) is valued on the request. If not required by this implementation guide, do not send."
"C","278-A3","4","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-A3","4","1800","REF","01","","","128","1L","2","1800","5182","","Use this code only if you cannot determine if the number is a Group Number (6P) or a Policy Number (IG)."
"E","278-A3","4","1800","REF","01","","","128","EJ","2","1800","5544","","The maximum number of characters to be supported for this qualifier is `20'. Characters beyond the maximum are not required to be stored nor returned by any receiving system."
"E","278-A3","4","1800","REF","01","","","128","F6","2","1800","5183","","Use the NM1 (Subscriber Name) segment if the subscriber's HIC number is the primary identifier for his or her coverage. Use this code only in a REF segment when the payer has a different member number, and there also is a need to pass the dependent's HIC number. This might occur in a Medicare HMO situation."
"E","278-A3","4","1800","REF","01","","","128","HJ","2","1800","5113","","Use this code when the Identity Card Number differs from the Member Identification Number. This is particularly prevalent in the Medicaid environment."
"E","278-A3","4","1800","REF","01","","","128","SY","2","1800","5222","","Use this code only if the Social Security Number is not the primary;identifier for the subscriber. The social security number may not be;used for Medicare."
"C","278-A3","4","1800","REF","02","","","","","2","1800","","F","Subscriber Supplemental Identifier"
"B","278-A3","4","2000","","","","","","","2","2000","5293","A","Subscriber Mailing Address"
"B","278-A3","4","2000","","","","","","","2","2000","5294","E","N3*PO Box 171021~"
"B","278-A3","4","2000","","","","","","","2","2000","5450","","Required when used by the UMO to determine the appropriate location or network for service. If not required by this implementation guide, do not send."
"C","278-A3","4","2000","N3","01","","","","","2","2000","5295","","Use this element for the first line of the Subscriber address."
"C","278-A3","4","2000","N3","01","","","","","2","2000","","F","Subscriber Address Line"
"C","278-A3","4","2000","N3","02","","","","","2","2000","5386","D","Required when a second address lines exists. If not required by this implementation guide, do not send."
"C","278-A3","4","2000","N3","02","","","","","2","2000","","F","Subscriber Address Line"
"B","278-A3","4","2100","","","","","","","2","2100","5528","E","N4*KANSAS CITY*MO*64108~"
"B","278-A3","4","2100","","","","","","","2","2100","5545","A","Subscriber City, State, ZIP Code"
"B","278-A3","4","2100","","","","","","","2","2100","5546","","Required when used by the UMO to determine the appropriate location or network for service. If not required by this implementation guide, do not send."
"C","278-A3","4","2100","N4","01","","","","","2","2100","","F","Subscriber City Name"
"C","278-A3","4","2100","N4","02","","","","","2","2100","5529","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-A3","4","2100","N4","02","","","","","2","2100","","F","Subscriber State Code"
"C","278-A3","4","2100","N4","03","","","","","2","2100","5530","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-A3","4","2100","N4","03","","","","","2","2100","","F","Subscriber Postal Zone or ZIP Code"
"C","278-A3","4","2100","N4","04","","","","","2","2100","5531","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-A3","4","2100","N4","04","","","","","2","2100","5532","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-A3","4","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-A3","4","2100","N4","07","","","","","2","2100","5533","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-A3","4","2100","N4","07","","","","","2","2100","5534","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-A3","4","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-A3","4","2300","","","","","","","2","2300","4966","E","AAA*N**67*N~"
"B","278-A3","4","2300","","","","","","","2","2300","4996","A","Subscriber Request Validation"
"B","278-A3","4","2300","","","","","","","2","2300","5379","","Required when the request is not valid at this level. If not required by this implementation guide, do not send."
"C","278-A3","4","2300","AAA","01","","","","","2","2300","4997","B","Valid Request Indicator"
"C","278-A3","4","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-A3","4","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-A3","4","2300","AAA","03","","","901","79","2","2300","5114","","Use for invalid subscriber supplemental identifier."
"C","278-A3","4","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-A3","4","2500","","","","","","","2","2500","4948","E","DMG*D8*19580322*M~"
"B","278-A3","4","2500","","","","","","","2","2500","4998","A","Subscriber Demographic Information"
"B","278-A3","4","2500","","","","","","","2","2500","5387","","Required when used by the UMO to determine medical necessity. If not required by this implementation guide, do not send."
"C","278-A3","4","2500","DMG","01","","","","","2","2500","","F","Date Time Period Format Qualifier"
"C","278-A3","4","2500","DMG","02","","","","","2","2500","4967","B","Subscriber Birth Date"
"C","278-A3","4","2500","DMG","02","","","","","2","2500","","F","Subscriber Birth Date"
"C","278-A3","4","2500","DMG","03","","","","","2","2500","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"C","278-A3","4","2500","DMG","03","","","","","2","2500","","F","Subscriber Gender Code"
"B","278-A3","4","2600","","","","","","","2","2600","5389","A","Subscriber Relationship"
"B","278-A3","4","2600","","","","","","","2","2600","5390","E","INS*Y*18******AO~"
"B","278-A3","4","2600","","","","","","","2","2600","5391","","Required when used by the UMO to determine the appropriate benefit/level of care. If not required by this implementation guide, do not send."
"C","278-A3","4","2600","INS","01","","","","","2","2600","","F","Insured Indicator"
"C","278-A3","4","2600","INS","02","","","","","2","2600","5392","B","Relationship to Insured Code"
"C","278-A3","4","2600","INS","02","","","","","2","2600","","F","Individual Relationship Code"
"C","278-A3","4","2600","INS","08","","","","","2","2600","5393","","Use to qualify the patient's relationship to the military."
"C","278-A3","4","2600","INS","08","","","","","2","2600","","F","Employment Status Code"
"B","278-A3","5","0100","","","","","","","2","0100","4949","E","HL*4*3*23*1~"
"B","278-A3","5","0100","","","","","","","2","0100","4999","A","Dependent Level"
"B","278-A3","5","0100","","","","","","","2","0100","5115","","Required when the UMO system processed any of the information contained in Loop 2000D of the request. If not required by this implementation guide, do not send."
"B","278-A3","5","0100","","","","","","","2","0100","5486","","If the UMO system was unable to process any data beyond Loop 2000C of the request, Loop 2000D is not required."
"C","278-A3","5","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A3","5","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A3","5","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A3","5","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A3","5","1700","","","","","","","2","1700","5008","A","Dependent Name"
"B","278-A3","5","1700","","","","","","","2","1700","5168","E","NM1*QC*1*SMITH*MARY~"
"B","278-A3","5","1700","","","","","","","2","1700","5185","","This segment conveys the name of the dependent who is the patient."
"B","278-A3","5","1700","","","","","","","2","1700","5116","","NM108 and NM109 are situational on the response but Not Used on the request. This enables the UMO to return a unique member ID for the dependent that was not known to the requester at the time of the request. When the dependent has a unique member ID, Loop 2000D is not used."
