"A","278-A1","","","","","","","","","","","4256","","It is required that separate transaction sets be used for different patients."
"C","278-A1","3","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A1","3","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A1","3","1700","","","","","","","2","1700","4295","A","Requester Name"
"B","278-A1","3","1700","","","","","","","2","1700","4482","E","NM1*1P*1*GARDENER*JAMES****24*000012345~"
"B","278-A1","3","1700","","","","","","","2","1700","4682","","This segment identifies the receiver of information. In the case of a request transaction, the receiver would normally be the entity who will ultimately be receiving the decision."
"C","278-A1","3","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"E","278-A1","3","1700","NM1","01","","","98","1P","2","1700","4683","","Use when the requester is an individual provider."
"E","278-A1","3","1700","NM1","01","","","98","FA","2","1700","4684","","Use when the requester is a facility, such as a clinic or hospital."
"E","278-A1","3","1700","NM1","01","","","98","PR","2","1700","4685","","Use only when the organization sending the request is a health plan, as in plan to plan communication or communication from the health plan to the medical review organization."
"C","278-A1","3","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A1","3","1700","NM1","03","","","","","2","1700","4686","D","Required when name information is needed by the UMO to identify the requester. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","3","1700","NM1","03","","","","","2","1700","","F","Requester Last or Organization Name"
"C","278-A1","3","1700","NM1","04","","","","","2","1700","4687","D","Required when NM103 is present and NM102=1. If not required by this implementation guide, do not send."
"C","278-A1","3","1700","NM1","04","","","","","2","1700","","F","Requester First Name"
"C","278-A1","3","1700","NM1","05","","","","","2","1700","4688","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-A1","3","1700","NM1","05","","","","","2","1700","","F","Requester Middle Name"
"C","278-A1","3","1700","NM1","07","","","","","2","1700","4681","D","Required when NM104 is present and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-A1","3","1700","NM1","07","","","","","2","1700","","F","Requester Name Suffix"
"C","278-A1","3","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-A1","3","1700","NM1","08","","","66","XV","2","1700","301708","","Use when reporting Health Plan ID (HPID) or Other Entity Identifier (OEID)."
"E","278-A1","3","1700","NM1","08","","","66","XX","2","1700","4897","","Required for providers in the United States or its territories on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider is eligible to receive an NPI;
OR
Required for providers not in the United States or its territories on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has received an NPI;
OR
Required for providers prior to the mandated NPI implementation date when the provider has received an NPI and the submitter has the capability to send it;
If not required by this implementation guide, do not send."
"C","278-A1","3","1700","NM1","09","","","","","2","1700","","F","Requester Identifier"
"B","278-A1","3","1800","","","","","","","2","1800","4265","E","REF*1G*123456~"
"B","278-A1","3","1800","","","","","","","2","1800","4296","A","Requester Supplemental Identification"
"B","278-A1","3","1800","","","","","","","2","1800","4898","","Required prior to the mandated HIPAA National Provider Identifier (NPI) implementation date when an identification number other than the NPI is necessary for the UMO to identify the provider;<R>OR<R>Required after the mandated NPI implementation date, when the entity is a non-health care provider, and an identifier is necessary for the UMO to identify the entity.<R>If not required by this implementation guide, do not send."
"C","278-A1","3","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-A1","3","1800","REF","01","","","128","EI","2","1800","4396","","Not used if NM108 = 24."
"E","278-A1","3","1800","REF","01","","","128","G5","2","1800","4689","","Required when needed to identify the physician, clinic, or group practice associated with the requester identified in this NM1 loop. If not required, do not send."
"E","278-A1","3","1800","REF","01","","","128","SY","2","1800","4537","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-A1","3","1800","REF","01","","","128","ZH","2","1800","4690","","Required when necessary to provide the requester/provider ID as assigned by the UMO identified in Loop 2000A. If not required, do not send."
"C","278-A1","3","1800","REF","02","","","","","2","1800","","F","Requester Supplemental Identifier"
"B","278-A1","3","2000","","","","","","","2","2000","4297","A","Requester Address"
"B","278-A1","3","2000","","","","","","","2","2000","4514","E","N3*43 SUNRISE BLVD*SUITE 234~"
"B","278-A1","3","2000","","","","","","","2","2000","4787","","Use to identify a specific location when the requester has multiple locations and authority varies based on location."
"B","278-A1","3","2000","","","","","","","2","2000","4788","","Required when necessary to identify the requester by location. If not required by this implementation guide, do not send."
"C","278-A1","3","2000","N3","01","","","","","2","2000","4397","","Use this element for the first line of the requester's address."
"C","278-A1","3","2000","N3","01","","","","","2","2000","","F","Requester Address Line"
"C","278-A1","3","2000","N3","02","","","","","2","2000","4691","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-A1","3","2000","N3","02","","","","","2","2000","","F","Requester Address Line"
"B","278-A1","3","2100","","","","","","","2","2100","4872","E","N4*KANSAS CITY*MO*64108~"
"B","278-A1","3","2100","","","","","","","2","2100","4901","A","Requester City, State, ZIP Code"
"B","278-A1","3","2100","","","","","","","2","2100","4902","","Required when necessary to identify the requester by location. If not required by this implementation guide, do not send."
"C","278-A1","3","2100","N4","01","","","","","2","2100","","F","Requester City Name"
"C","278-A1","3","2100","N4","02","","","","","2","2100","4873","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-A1","3","2100","N4","02","","","","","2","2100","","F","Requester State or Province Code"
"C","278-A1","3","2100","N4","03","","","","","2","2100","4874","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-A1","3","2100","N4","03","","","","","2","2100","","F","Requester Postal Zone or ZIP Code"
"C","278-A1","3","2100","N4","04","","","","","2","2100","4875","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-A1","3","2100","N4","04","","","","","2","2100","4876","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-A1","3","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-A1","3","2100","N4","07","","","","","2","2100","4877","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-A1","3","2100","N4","07","","","","","2","2100","4878","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-A1","3","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-A1","3","2200","","","","","","","2","2200","4266","E","PER*IC*WILBER*TE*8189991234*FX*8188769304~"
"B","278-A1","3","2200","","","","","","","2","2200","4298","A","Requester Contact Information"
"B","278-A1","3","2200","","","","","","","2","2200","4398","","Required when the UMO must direct requests for additional information to a specific requester contact, electronic mail, facsimile, or telephone number. If not required by this implementation guide, do not send."
"B","278-A1","3","2200","","","","","","","2","2200","4510","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"C","278-A1","3","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-A1","3","2200","PER","02","","","","","2","2200","4890","D","Required when the response must be directed to a particular contact and the name of the entity to contact is not already defined or is different than the name supplied in the NM1 segment of this loop. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","02","","","","","2","2200","","F","Requester Contact Name"
"C","278-A1","3","2200","PER","03","","","","","2","2200","4745","D","Required when PER02 is not valued to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A1","3","2200","PER","03","","","365","UR","2","2200","4581","","Must not contain any characters used as delimiters in this transaction."
"C","278-A1","3","2200","PER","04","","","","","2","2200","4745","D","Required when PER02 is not valued to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","04","","","","","2","2200","","F","Requester Contact Communication Number"
"C","278-A1","3","2200","PER","05","","","","","2","2200","4692","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A1","3","2200","PER","05","","","365","UR","2","2200","4581","","Must not contain any characters used as delimiters in this transaction."
"C","278-A1","3","2200","PER","06","","","","","2","2200","4692","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","06","","","","","2","2200","","F","Requester Contact Communication Number"
"C","278-A1","3","2200","PER","07","","","","","2","2200","4692","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-A1","3","2200","PER","07","","","365","UR","2","2200","4581","","Must not contain any characters used as delimiters in this transaction."
"C","278-A1","3","2200","PER","08","","","","","2","2200","4692","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-A1","3","2200","PER","08","","","","","2","2200","","F","Requester Contact Communication Number"
"B","278-A1","3","2400","","","","","","","2","2400","4399","A","Requester Provider Information"
"B","278-A1","3","2400","","","","","","","2","2400","4580","E","PRV*CO*PXC*203BS0133X~"
"B","278-A1","3","2400","","","","","","","2","2400","4693","","Required when needed to indicate the requester's role in the care of the patient and the requesting provider's specialty. If not required by this implementation guide, do not send."
"C","278-A1","3","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"C","278-A1","3","2400","PRV","02","","","","","2","2400","4694","D","Required when necessary to identify the requesting provider's specialty. If not required by this implementation guide, do not send."
"C","278-A1","3","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-A1","3","2400","PRV","03","","","","","2","2400","4474","B","Provider Specialty Code"
"C","278-A1","3","2400","PRV","03","","","","","2","2400","4694","D","Required when necessary to identify the requesting provider's specialty. If not required by this implementation guide, do not send."
"C","278-A1","3","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-A1","4","0100","","","","","","","2","0100","4267","E","HL*3*2*22*1~"
"B","278-A1","4","0100","","","","","","","2","0100","4299","A","Subscriber Level"
"B","278-A1","4","0100","","","","","","","2","0100","4400","","This segment indicates the subscriber hierarchical level. This segment corresponds to the identification of the subscriber or individual insured member. The subscriber could also be the patient. If the subscriber is the patient or the patient has a unique insurance identifier, the dependent hierarchical level (Loop 2000D) is not used."
"C","278-A1","4","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A1","4","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A1","4","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A1","4","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A1","4","1700","","","","","","","2","1700","4302","A","Subscriber Name"
"B","278-A1","4","1700","","","","","","","2","1700","4485","E","NM1*IL*1*SMITH*JOE****MI*12345678901~"
"B","278-A1","4","1700","","","","","","","2","1700","4533","","This segment conveys the name and identification number of the subscriber (who may also be the patient)."
"B","278-A1","4","1700","","","","","","","2","1700","4410","","The Member Identification Number (NM108/NM109) is required and may be adequate to identify the subscriber to the UMO. However, the UMO can require additional information. The maximum data elements that the UMO can require to identify the subscriber, in addition to the member ID are as follows:
Subscriber Last Name (NM103)
Subscriber First Name (NM104)
Subscriber Birth Date (DMG01 and DMG02)"
"B","278-A1","4","1700","","","","","","","2","1700","4484","","Refer to Section 2.2.2.1 Identifying the Patient for specific information on how to identify an individual to a UMO."
"C","278-A1","4","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A1","4","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-A1","4","1700","NM1","03","","","","","2","1700","4746","D","Required when name information is needed by the UMO to identify the Subscriber. If not required by this implementation guide, do not send."
"C","278-A1","4","1700","NM1","03","","","","","2","1700","","F","Subscriber Last Name"
"C","278-A1","4","1700","NM1","04","","","","","2","1700","4746","D","Required when name information is needed by the UMO to identify the Subscriber. If not required by this implementation guide, do not send."
"C","278-A1","4","1700","NM1","04","","","","","2","1700","","F","Subscriber First Name"
"C","278-A1","4","1700","NM1","05","","","","","2","1700","4695","D","Required when name information is needed by the UMO to identify the Subscriber and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-A1","4","1700","NM1","05","","","","","2","1700","","F","Subscriber Middle Name or Initial"
"C","278-A1","4","1700","NM1","06","","","","","2","1700","4696","D","Required when military title or rank is needed by the UMO to determine the approriate benefit/level of care. If not required by this implementation guide, do not send."
"C","278-A1","4","1700","NM1","06","","","","","2","1700","","F","Subscriber Name Prefix"
"C","278-A1","4","1700","NM1","07","","","","","2","1700","4697","D","Required when the suffix is needed to further identify the patient; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-A1","4","1700","NM1","07","","","","","2","1700","","F","Subscriber Name Suffix"
"C","278-A1","4","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-A1","4","1700","NM1","08","","","66","II","2","1700","4698","","The value ""II"" when used in this data element, shall be defined as ""HIPAA Individual Identifier"" if this identifier has been adopted. Under the Health Insurance Portability and Accountability Act of 1996, the Secretary of Health and Human Services must adopt a standard individual identifier for use in this transaction."
"E","278-A1","4","1700","NM1","08","","","66","MI","2","1700","4530","","The code MI is intended to be the subscriber's identification number as assigned by the payer. Payers use different terminology to convey the same number. Use MI - Member Identification Number to convey the following terms:
Insured's ID, Subscriber's ID, Health Insurance Claim Number (HIC), etc."
"C","278-A1","4","1700","NM1","09","","","","","2","1700","4303","B","Subscriber Member Number"
"C","278-A1","4","1700","NM1","09","","","","","2","1700","","F","Subscriber Primary Identifier"
"B","278-A1","4","1800","","","","","","","2","1800","4268","E","REF*SY*123456789~"
"B","278-A1","4","1800","","","","","","","2","1800","4304","A","Subscriber Supplemental Identification"
"B","278-A1","4","1800","","","","","","","2","1800","4699","","Required when needed to provide a supplemental identifier for the subscriber. If not required by this implementation guide, do not send."
"B","278-A1","4","1800","","","","","","","2","1800","4879","","The primary identifier is the Member Identification Number in the NM1 segment."
"B","278-A1","4","1800","","","","","","","2","1800","4412","","Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number are to be provided in the NM1 segment as a Member Identification Number when it is the primary number a UMO knows a member by (such as for Medicare or Medicaid). Do not use this segment for the Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number unless they are different from the Member Identification Number provided in the NM1 segment."
"B","278-A1","4","1800","","","","","","","2","1800","4486","","If the requester values this segment with the Patient Account Number (REF01=<169>EJ<170>) on the request, the UMO is required to return the same value in this segment on the response."
"C","278-A1","4","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-A1","4","1800","REF","01","","","128","1L","2","1800","4531","","Use this code only if you cannot determine if the number is a Group Number (6P) or a Policy Number (IG)."
"E","278-A1","4","1800","REF","01","","","128","EJ","2","1800","4899","","The maximum number of characters to be supported for this qualifier is `20'. Characters beyond the maximum are not required to be stored nor returned by any receiving system. Use this code only if the subscriber is the patient."
"E","278-A1","4","1800","REF","01","","","128","F6","2","1800","4358","","Use the NM1 (Subscriber Name) segment if the subscriber's HIC number is the primary identifier for his or her coverage. Use this code only in a REF segment when the payer has a different member number, and there is also a need to pass the subscriber's HIC number. This might occur in a Medicare HMO situation."
"E","278-A1","4","1800","REF","01","","","128","HJ","2","1800","4411","","Use this code when the Identity Card Number differs from the Member Identification Number. This is particularly prevalent in the Medicaid environment."
"E","278-A1","4","1800","REF","01","","","128","SY","2","1800","4539","","Use this code only if the Social Security Number was not used by the payer as its primary method of identifying the subscriber. The social security number may not be used for Medicare."
"C","278-A1","4","1800","REF","02","","","","","2","1800","","F","Subscriber Supplemental Identifier"
"B","278-A1","4","2000","","","","","","","2","2000","4570","A","Subscriber Address"
"B","278-A1","4","2000","","","","","","","2","2000","4571","E","N3*PO Box 171021~"
"B","278-A1","4","2000","","","","","","","2","2000","4747","","Required when the subscriber is the patient and the current address of the patient is used to determine the appropriate location or network of service. If not required by this implementation guide, do not send."
"C","278-A1","4","2000","N3","01","","","","","2","2000","4572","","Use this element for the first line of the Subscriber mailing address."
"C","278-A1","4","2000","N3","01","","","","","2","2000","","F","Subscriber Address Line"
"C","278-A1","4","2000","N3","02","","","","","2","2000","4691","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-A1","4","2000","N3","02","","","","","2","2000","","F","Subscriber Address Line"
"B","278-A1","4","2100","","","","","","","2","2100","4872","E","N4*KANSAS CITY*MO*64108~"
"B","278-A1","4","2100","","","","","","","2","2100","4903","A","Subscriber City, State, ZIP Code"
"B","278-A1","4","2100","","","","","","","2","2100","4904","","Required when the subscriber is the patient and the current address of the patient is used to determine the appropriate location or network of service. If not required by this implementation guide, do not send."
"C","278-A1","4","2100","N4","01","","","","","2","2100","","F","Subscriber City Name"
"C","278-A1","4","2100","N4","02","","","","","2","2100","4873","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-A1","4","2100","N4","02","","","","","2","2100","","F","Subscriber State Code"
"C","278-A1","4","2100","N4","03","","","","","2","2100","4874","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-A1","4","2100","N4","03","","","","","2","2100","","F","Subscriber Postal Zone or ZIP Code"
"C","278-A1","4","2100","N4","04","","","","","2","2100","4875","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-A1","4","2100","N4","04","","","","","2","2100","4876","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-A1","4","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-A1","4","2100","N4","07","","","","","2","2100","4877","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-A1","4","2100","N4","07","","","","","2","2100","4878","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-A1","4","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-A1","4","2500","","","","","","","2","2500","4269","E","DMG*D8*19580322*M~"
"B","278-A1","4","2500","","","","","","","2","2500","4305","A","Subscriber Demographic Information"
"B","278-A1","4","2500","","","","","","","2","2500","4700","","Required when birth date is needed to identify the patient or when gender information is required to determine medical necessity. If not required by this implementation guide, do not send."
"B","278-A1","4","2500","","","","","","","2","2500","4701","","Refer to Section 1.12.2 Identifying the Patient for specific information on how to identify an individual to a UMO."
"C","278-A1","4","2500","DMG","01","","","","","2","2500","","F","Date Time Period Format Qualifier"
"C","278-A1","4","2500","DMG","02","","","","","2","2500","4286","B","Subscriber Birth Date"
"C","278-A1","4","2500","DMG","02","","","","","2","2500","","F","Subscriber Birth Date"
"C","278-A1","4","2500","DMG","03","","","","","2","2500","4789","D","Required when gender code (DMG03) is needed to determine medical necessity. If not required by this implementation guide, do not send."
"C","278-A1","4","2500","DMG","03","","","","","2","2500","","F","Subscriber Gender Code"
"B","278-A1","4","2600","","","","","","","2","2600","4579","E","INS*Y*18******AO~"
"B","278-A1","4","2600","","","","","","","2","2600","4633","A","Subscriber Relationship"
"B","278-A1","4","2600","","","","","","","2","2600","4702","","Required when the subscriber's role in the military is necessary to determine the appropriate benefit/level of care. If not required by this implementation guide, do not send."
"C","278-A1","4","2600","INS","01","","","","","2","2600","","F","Insured Indicator"
"C","278-A1","4","2600","INS","02","","","","","2","2600","4381","B","Relationship to Insured Code"
"C","278-A1","4","2600","INS","02","","","","","2","2600","","F","Individual Relationship Code"
"C","278-A1","4","2600","INS","08","","","","","2","2600","4703","","Use to qualify the patient's relationship to the military."
"C","278-A1","4","2600","INS","08","","","","","2","2600","","F","Employment Status Code"
"B","278-A1","5","0100","","","","","","","2","0100","4270","E","HL*4*3*23*1~"
"B","278-A1","5","0100","","","","","","","2","0100","4306","A","Dependent Level"
"B","278-A1","5","0100","","","","","","","2","0100","4413","","If the patient has a unique member ID, use Loop 2000C to identify the patient."
"B","278-A1","5","0100","","","","","","","2","0100","4414","","Required segments in this loop are required only when this loop is used."
"B","278-A1","5","0100","","","","","","","2","0100","4704","","Required when the patient is someone other than the subscriber and the patient does not have a unique (different from the subscriber) member ID. If not required by this implementation guide, do not send."
"C","278-A1","5","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A1","5","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A1","5","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A1","5","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A1","5","1700","","","","","","","2","1700","4317","A","Dependent Name"
"B","278-A1","5","1700","","","","","","","2","1700","4487","E","NM1*QC*1*SMITH*MARY~"
"B","278-A1","5","1700","","","","","","","2","1700","4517","","This segment conveys the name of the dependent who is the patient."
"B","278-A1","5","1700","","","","","","","2","1700","4416","","The maximum data elements in Loop 2010D that can be required by a UMO to identify a dependent are as follows:
Dependent Last Name (NM103)
Dependent First Name (NM104)
Dependent Birth Date (DMG01 and DMG02)"
"B","278-A1","5","1700","","","","","","","2","1700","4701","","Refer to Section 1.12.2 Identifying the Patient for specific information on how to identify an individual to a UMO."
"C","278-A1","5","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-A1","5","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
