"A","275-A9","","","","","","","","","","","114","","Additional Information to Support a Health Care Claim or Encounter"
"B","275-A9","1","0100","","","","","","","1","0100","53","A","275 Transaction Header"
"B","275-A9","1","0100","","","","","","","1","0100","54","E","ST*275*0001*005010X210~"
"C","275-A9","1","0100","ST","01","","","","","1","0100","168","","Use this code to identify the transaction set ID for the transaction set that will follow the ST segment. Each X12 standard has a transaction set identifier code that is unique to that transaction set."
"C","275-A9","1","0100","ST","01","","","","","1","0100","","F","Transaction Set Identifier Code"
"C","275-A9","1","0100","ST","02","","","","","1","0100","142","","The Transaction Set Control Number in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there."
"C","275-A9","1","0100","ST","02","","","","","1","0100","","F","Transaction Set Control Number"
"C","275-A9","1","0100","ST","03","","","","","1","0100","190","","This data element contains the same value as GS08. Some translator products strip off the ISA and GS segments prior to application (ST-SE) processing. Providing the information from the GS08 at this level will ensure that the appropriate application mapping is utilized at translation time."
"C","275-A9","1","0100","ST","03","","","","","1","0100","1000221","","This value is always 005010X210."
"C","275-A9","1","0100","ST","03","","","","","1","0100","","F","Version, Release, or Industry Identifier"
"B","275-A9","1","0200","","","","","","","1","0200","55","E","BGN*11*1*20060701~"
"B","275-A9","1","0200","","","","","","","1","0200","","A","Beginning Segment"
"C","275-A9","1","0200","BGN","01","","","","","1","0200","","F","Transaction Set Purpose Code"
"E","275-A9","1","0200","BGN","01","","","353","02","1","0200","1000158","","Used when submitting an attachment to an unsolicited 837."
"E","275-A9","1","0200","BGN","01","","","353","11","1","0200","1000159","","Used when submitting Attachment information in response to a 277."
"C","275-A9","1","0200","BGN","02","","","","","1","0200","1000084","","The originator of the transaction set assigns the unique reference number in BGN02 and the date of creation in BGN03."
"C","275-A9","1","0200","BGN","02","","","","","1","0200","","F","Transaction Set Reference Number"
"C","275-A9","1","0200","BGN","03","","","","","1","0200","","F","Transaction Set Creation Date"
"B","275-A9","1","0500","","","","","","","1","0500","1000104","A","Payer Name"
"B","275-A9","1","0500","","","","","","","1","0500","1000222","E","NM1*PR*2*ABC INSURANCE COMPANY*****PI*12345~"
"C","275-A9","1","0500","NM1","01","","","","","1","0500","","F","Entity Identifier Code"
"C","275-A9","1","0500","NM1","02","","","","","1","0500","","F","Entity Type Qualifier"
"C","275-A9","1","0500","NM1","03","","","","","1","0500","","F","Payer Name"
"C","275-A9","1","0500","NM1","08","","","","","1","0500","","F","Identification Code Qualifier"
"C","275-A9","1","0500","NM1","09","","","","","1","0500","","F","Payer Identifier"
"B","275-A9","1","0900","","","","","","","1","0900","61","E","PER*IC*MEDICAL REVIEW DEPARTMENT*TE*5552221212*EX*6593*FX*5553332121~"
"B","275-A9","1","0900","","","","","","","1","0900","1000160","","Required when the value in BGN01 is 11 and the Payer Response Contact Information (PER Segment) was reported in the 2210D loop of the 277 transaction. If not required by this implementation guide, do not send."
"B","275-A9","1","0900","","","","","","","1","0900","1000204","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and phone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The telephone extension, when applicable, should be included in the next sequential communication number data element."
"B","275-A9","1","0900","","","","","","","1","0900","1000223","A","Payer Contact Information"
"C","275-A9","1","0900","PER","01","","","","","1","0900","","F","Contact Function Code"
"C","275-A9","1","0900","PER","02","","","","","1","0900","1000257","D","Required when the PER segment in the 2210D loop of the 277 include this information. If not required by this implementation guide, do not send."
"C","275-A9","1","0900","PER","02","","","","","1","0900","","F","Payer Contact Name"
"C","275-A9","1","0900","PER","03","","","","","1","0900","1000257","D","Required when the PER segment in the 2210D loop of the 277 include this information. If not required by this implementation guide, do not send."
"C","275-A9","1","0900","PER","03","","","","","1","0900","","F","Communication Number Qualifier"
"C","275-A9","1","0900","PER","04","","","","","1","0900","191","D","Required when the PER segment in the 2100A or 2210D loops of the 277 include this information. If not required by this implementation guide, do not send."
"C","275-A9","1","0900","PER","04","","","","","1","0900","","F","Payer Contact Communication Number"
