"A","278-B2","","","","","","","","","","","3790","","It is required that separate transaction sets be used for different patients."
"B","278-B2","1","0100","","","","","","","1","0100","3791","","This segment indicates the start of a health care services review notification acknowledgment response transaction set with all the supporting information. This transaction set is the electronic equivalent of a phone, fax, or paper-based receipt acknowledgment."
"B","278-B2","1","0100","","","","","","","1","0100","3792","E","ST*278*0001*005010X216~"
"B","278-B2","1","0100","","","","","","","1","0100","","A","Transaction Set Header"
"C","278-B2","1","0100","ST","01","","","","","1","0100","","F","Transaction Set Identifier Code"
"C","278-B2","1","0100","ST","02","","","","","1","0100","3980","","The Transaction Set Control Numbers in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there. The number also aids in error resolution research. Use the corresponding value in SE02 for this transaction set."
"C","278-B2","1","0100","ST","02","","","","","1","0100","","F","Transaction Set Control Number"
"C","278-B2","1","0100","ST","03","","","","","1","0100","4247","","This element must be populated with the guide identifier named in Section 1.2."
"C","278-B2","1","0100","ST","03","","","","","1","0100","4248","","This field contains the same value as GS08. Some translator products strip off the ISA and GS segments prior to application (STSE) processing. Providing the information from the GS08 at this level will ensure that the appropriate application mapping is utilized at translation time."
"C","278-B2","1","0100","ST","03","","","","","1","0100","","F","Implementation Guide Version Name"
"B","278-B2","1","0200","","","","","","","1","0200","3793","E","BHT*0007*53*199800114000001*20050101*1400~"
"B","278-B2","1","0200","","","","","","","1","0200","","A","Beginning of Hierarchical Transaction"
"C","278-B2","1","0200","BHT","01","","","","","1","0200","","F","Hierarchical Structure Code"
"C","278-B2","1","0200","BHT","02","","","","","1","0200","","F","Transaction Set Purpose Code"
"E","278-B2","1","0200","BHT","02","","","353","44","1","0200","4069","","Use to indicate that this transaction acknowledges a notification that was rejected due to data errors or non-availability of the receiving system."
"E","278-B2","1","0200","BHT","02","","","353","53","1","0200","4070","","Use to indicate that this is an acknowledgment of successful receipt of a notification."
"C","278-B2","1","0200","BHT","03","","","","","1","0200","3908","","Return the transaction identifier entered in BHT03 on the 278 notification."
"C","278-B2","1","0200","BHT","03","","","","","1","0200","","F","Submitter Transaction Identifier"
"C","278-B2","1","0200","BHT","04","","","","","1","0200","","F","Transaction Set Creation Date"
"C","278-B2","1","0200","BHT","05","","","","","1","0200","","F","Transaction Set Creation Time"
"B","278-B2","2","0100","","","","","","","2","0100","3794","E","HL*1**20*1~"
